"Our results through the end of the century are generated based on today’s existing property numbers, property values, and related data (Zillow 2017).",,,,,,,,,,,,,,
ZIP Codes are defined by US Census Bureau ZIP Code Tabulation Areas.,,,,,,,,,,,,,,
"In some cases, our underlying source datasets may not reflect all local features such as recently-constructed seawalls and locally-controlled levees. In those cases, the flood-mitigating effects of such structures may not be reflected in the projected degree of flooding.",,,,,,,,,,,,,,
Year,Projection,State,ZIP Code, Homes at Risk ,Value at Risk,Property Tax at Risk, Population currently housed in at risk homes , Total Homes ,Total Value,Total Property Tax, Total Population ,,,
2030,NCAH,AL,36527, 2 ,"$752,600","$3,839", 5 ," 6,823 ","$1,669,824,161","$6,747,602"," 12,109 ",,,
2030,NCAH,CA,95521, 15 ,"$5,110,244","$53,664", 30 ," 7,051 ","$1,135,641,057","$16,015,296"," 20,199 ",,,
2030,NCAH,CA,95531, 1 ,"$18,725",$144, 2 ," 12,196 ","$1,048,537,334","$12,833,597"," 24,528 ",,,
2030,NCAH,CA,95503, 77 ,"$9,708,026","$97,370", 173 ," 10,353 ","$1,606,823,501","$20,184,337"," 24,152 ",,,
2030,NCAH,CA,90742, 1 ,"$724,665","$5,326", 2 , 298 ,"$287,472,080","$3,622,570", 831 ,,,
2030,NCAH,CA,94585, 337 ,"$72,505,199","$932,263", 996 ," 8,973 ","$1,958,524,160","$29,909,884"," 28,263 ",,,
2030,NCAH,CA,95476, 3 ,"$1,788,660","$12,823", 6 ," 14,429 ","$6,090,947,051","$78,418,075"," 35,394 ",,,
2030,NCAH,CA,93001, 59 ,"$4,691,482","$42,759", 135 ," 11,271 ","$3,783,872,620","$53,560,600"," 32,990 ",,,
2030,NCAH,CA,92662," 1,113 ","$1,480,479,460","$15,915,590"," 1,456 "," 1,420 ","$1,802,992,745","$20,280,803"," 2,756 ",,,
2030,NCAH,CA,94952, 1 ,"$13,436",$96, 2 ," 11,759 ","$4,207,961,866","$55,287,313"," 32,858 ",,,
2030,NCAH,CA,94089, 166 ,"$114,809,714","$1,356,771", 423 ," 5,583 ","$4,010,560,556","$97,270,500"," 19,245 ",,,
2030,NCAH,CA,90265, 108 ,"$330,469,867","$4,031,078", 205 ," 10,740 ","$14,547,782,233","$198,516,985"," 18,116 ",,,
2030,NCAH,CA,91932, 5 ,"$3,215,405","$43,621", 13 ," 5,744 ","$1,572,446,105","$23,499,694"," 25,718 ",,,
2030,NCAH,CA,94925, 513 ,"$292,985,348","$4,145,334"," 1,179 "," 3,696 ","$2,324,105,703","$40,620,126"," 9,253 ",,,
2030,NCAH,CA,94954, 1 ,"$54,788",$393, 3 ," 12,441 ","$4,295,572,849","$59,126,923"," 37,365 ",,,
2030,NCAH,CA,95076, 11 ,"$1,897,075","$18,228", 37 ," 20,902 ","$6,199,491,362","$91,913,757"," 82,474 ",,,
2030,NCAH,CA,93908, 1 ,"$157,274","$2,027", 3 ," 5,689 ","$2,391,591,000","$31,233,358"," 13,043 ",,,
2030,NCAH,CA,94937, 13 ,"$4,280,547","$51,757", 14 , 901 ,"$312,949,985","$3,977,432", 837 ,,,
2030,NCAH,CA,94965, 12 ,"$9,362,392","$122,677", 20 ," 4,186 ","$2,748,223,063","$45,319,109"," 10,847 ",,,
2030,NCAH,CA,94904, 48 ,"$18,141,504","$282,665", 99 ," 4,231 ","$4,388,765,904","$64,405,453"," 11,995 ",,,
2030,NCAH,CA,94565, 55 ,"$9,020,454","$142,294", 166 ," 24,649 ","$5,434,732,601","$97,568,361"," 84,641 ",,,
2030,NCAH,CA,94501, 3 ,"$1,739,746","$24,248", 7 ," 15,192 ","$6,726,326,265","$122,806,993"," 60,212 ",,,
2030,NCAH,CA,94804, 2 ,,, 5 ," 12,326 ","$2,456,320,771","$66,556,872"," 38,559 ",,,
2030,NCAH,CA,92007, 1 ,"$1,142,210","$12,548", 2 ," 3,996 ","$2,294,060,216","$29,268,971"," 10,429 ",,,
2030,NCAH,CA,94404, 115 ,"$99,280,921","$1,150,550", 272 ," 10,500 ","$6,982,675,617","$124,645,193"," 33,749 ",,,
2030,NCAH,CA,92109, 397 ,"$288,796,192","$3,395,157", 682 ," 15,909 ","$7,993,988,907","$114,591,127"," 45,787 ",,,
2030,NCAH,CA,94510, 12 ,"$8,241,090","$108,790", 29 ," 10,610 ","$3,272,998,108","$51,029,875"," 27,088 ",,,
2030,NCAH,CA,94941, 72 ,"$39,347,346","$588,767", 154 ," 11,953 ","$9,545,671,444","$144,313,955"," 30,496 ",,,
2030,NCAH,CA,94940, 22 ,"$9,379,523","$140,673", 30 , 254 ,"$50,415,551","$1,223,345", 268 ,,,
2030,NCAH,CA,92661, 69 ,"$222,952,146","$2,396,427", 99 ," 2,036 ","$2,788,776,919","$31,907,456"," 3,744 ",,,
2030,NCAH,CA,94923, 3 ,"$950,124","$6,811", 3 ," 1,810 ","$721,882,296","$5,301,491"," 1,411 ",,,
2030,NCAH,CA,92649, 30 ,"$22,724,869","$263,446", 66 ," 12,537 ","$6,657,592,560","$87,108,173"," 32,463 ",,,
2030,NCAH,CA,94002, 22 ,"$14,025,369","$184,154", 50 ," 8,160 ","$5,352,634,126","$81,692,401"," 25,992 ",,,
2030,NCAH,CA,92648, 393 ,"$210,092,745","$2,402,926", 846 ," 15,510 ","$8,906,115,459","$117,738,631"," 45,317 ",,,
2030,NCAH,CA,94063, 318 ,"$386,687,559","$4,830,205"," 1,026 "," 6,144 ","$2,876,549,723","$81,009,182"," 30,949 ",,,
2030,NCAH,CA,92014, 3 ,"$55,296,074","$567,627", 6 ," 8,397 ","$6,038,510,257","$68,951,793"," 13,154 ",,,
2030,NCAH,CA,95501, 58 ,"$522,607","$5,635", 121 ," 8,499 ","$1,178,717,572","$18,899,240"," 23,976 ",,,
2030,NCAH,CA,92660, 4 ,"$14,835,386","$156,875", 8 ," 12,279 ","$12,858,580,443","$189,558,056"," 34,797 ",,,
2030,NCAH,CA,92663, 583 ,"$804,528,720","$8,656,822"," 1,017 "," 8,316 ","$7,711,461,719","$99,980,361"," 21,649 ",,,
2030,NCAH,CA,92625, 9 ,"$31,449,120","$333,478", 17 ," 5,398 ","$7,278,382,612","$80,375,277"," 12,478 ",,,
2030,NCAH,CA,95551, 2 ,"$758,826","$6,677", 5 , 743 ,"$95,279,833","$926,409"," 1,739 ",,,
2030,NCAH,CA,94590, 36 ,"$10,992,404","$134,668", 79 ," 11,194 ","$1,791,894,832","$26,708,270"," 35,420 ",,,
2030,NCAH,CA,93035, 15 ,"$9,822,791","$127,911", 35 ," 12,221 ","$4,581,864,196","$59,996,773"," 27,732 ",,,
2030,NCAH,CA,94065, 234 ,"$180,327,903","$2,045,858", 537 ," 4,427 ","$3,347,969,500","$65,238,482"," 11,359 ",,,
2030,NCAH,CA,92106, 3 ,"$4,984,200","$58,542", 6 ," 6,721 ","$3,836,133,026","$54,937,235"," 19,330 ",,,
2030,NCAH,CA,90803, 458 ,"$359,254,213","$4,291,655", 781 ," 11,253 ","$6,333,838,079","$84,566,223"," 32,031 ",,,
2030,NCAH,CA,94043, 10 ,"$190,851","$1,881", 21 ," 9,753 ","$5,524,598,676","$131,620,354"," 28,358 ",,,
2030,NCAH,CA,94545, 7 ,"$2,383,718","$29,436", 22 ," 9,473 ","$2,782,494,150","$72,067,738"," 29,707 ",,,
2030,NCAH,CA,94303," 2,969 ","$2,413,905,573","$28,280,938"," 9,238 "," 12,477 ","$8,363,712,017","$129,680,732"," 45,467 ",,,
2030,NCAH,CA,94579, 13 ,"$782,622","$7,865", 38 ," 6,143 ","$1,932,635,603","$27,611,293"," 20,571 ",,,
2030,NCAH,CA,94401," 1,161 ","$541,803,981","$7,508,643"," 2,890 "," 9,273 ","$4,519,842,102","$71,108,072"," 34,429 ",,,
2030,NCAH,CA,94555, 27 ,"$16,627,810","$207,456", 83 ," 11,365 ","$4,693,270,214","$69,973,410"," 34,143 ",,,
2030,NCAH,CA,94559, 123 ,"$47,475,047","$685,508", 295 ," 9,053 ","$3,103,931,425","$53,449,291"," 27,184 ",,,
2030,NCAH,CA,94945, 22 ,"$7,874,881","$100,977", 54 ," 6,822 ","$3,046,974,603","$53,858,660"," 17,167 ",,,
2030,NCAH,CA,94970, 8 ,"$4,306,844","$49,863", 7 , 897 ,"$864,316,507","$10,223,914", 683 ,,,
2030,NCAH,CA,95002, 10 ,"$10,553,619","$177,878", 34 , 764 ,"$134,478,014","$6,319,245"," 2,077 ",,,
2030,NCAH,CA,94801, 66 ,"$59,775,787","$921,975", 187 ," 8,329 ","$1,538,137,508","$82,033,945"," 29,395 ",,,
2030,NCAH,CA,94949, 614 ,"$403,958,252","$6,348,907"," 1,443 "," 5,642 ","$2,862,179,801","$52,328,044"," 17,202 ",,,
2030,NCAH,CA,94903, 700 ,"$213,691,387","$3,266,156"," 1,546 "," 10,495 ","$5,041,389,351","$87,128,978"," 29,040 ",,,
2030,NCAH,CA,94920, 247 ,"$508,006,340","$6,738,806", 527 ," 5,053 ","$7,438,201,114","$96,125,384"," 12,474 ",,,
2030,NCAH,CA,95039, 2 ,"$462,705","$5,329", 6 , 968 ,"$101,859,640","$1,533,250"," 1,377 ",,,
2030,NCAH,CA,94924, 11 ,"$6,162,960","$102,246", 16 ," 1,241 ","$348,192,170","$5,955,336"," 1,638 ",,,
2030,NCAH,CA,94710, 10 ,"$2,542,978","$31,785", 22 ," 2,280 ","$611,057,803","$34,658,367"," 6,948 ",,,
2030,NCAH,CA,94587, 48 ,"$13,823,594","$244,149", 156 ," 18,470 ","$7,193,691,943","$135,375,213"," 69,516 ",,,
2030,NCAH,CA,94901," 1,114 ","$508,545,136","$8,964,094"," 2,703 "," 11,784 ","$6,650,340,278","$117,967,159"," 41,157 ",,,
2030,NCAH,CA,95003, 1 ,"$765,608","$9,277", 2 ," 12,334 ","$5,955,325,000","$77,645,719"," 23,974 ",,,
2030,NCAH,CA,90293, 2 ,"$2,394,064","$30,740", 3 ," 4,698 ","$2,635,824,834","$33,431,278"," 12,132 ",,,
2030,NCAH,CA,95410, 1 ,"$772,664","$8,702", 2 , 863 ,"$149,167,382","$2,404,028", 950 ,,,
2030,NCAH,CA,92647, 522 ,"$200,963,910","$2,313,004"," 1,442 "," 13,710 ","$5,484,298,531","$95,366,367"," 57,245 ",,,
2030,NCAH,CA,94577, 4 ,"$988,356","$13,845", 10 ," 14,281 ","$4,333,682,939","$91,090,999"," 45,560 ",,,
2030,NCAH,CA,94939, 114 ,"$89,250,176","$1,249,525", 218 ," 2,626 ","$2,017,982,050","$33,795,322"," 6,859 ",,,
2030,NCAH,CA,95564, 4 ,"$430,601","$4,684", 9 , 329 ,"$11,571,397","$119,848", 462 ,,,
2030,NCAH,CA,94502, 340 ,"$116,361,139","$1,819,415", 879 ," 5,513 ","$2,618,934,884","$47,879,523"," 13,600 ",,,
2030,NCAH,CT,06412, 18 ,"$7,613,915","$107,448", 36 ," 1,773 ","$446,923,457","$8,223,684"," 3,994 ",,,
2030,NCAH,CT,06385, 11 ,"$3,761,700","$70,517", 24 ," 7,936 ","$1,719,704,328","$56,334,000"," 15,893 ",,,
2030,NCAH,CT,06371, 60 ,"$42,616,871","$602,559", 100 ," 6,955 ","$2,504,955,424","$39,537,800"," 9,952 ",,,
2030,NCAH,CT,06320, 1 ,"$856,800","$24,266", 2 ," 7,127 ","$982,683,214","$52,215,389"," 27,617 ",,,
2030,NCAH,CT,06413, 98 ,"$32,213,000","$611,987", 213 ," 6,933 ","$1,606,878,100","$36,692,940"," 13,235 ",,,
2030,NCAH,CT,06878, 16 ,"$60,467,500","$487,756", 45 ," 2,682 ","$4,675,686,000","$41,054,569"," 8,043 ",,,
2030,NCAH,CT,06340, 56 ,"$55,597,000","$971,340", 111 ," 9,985 ","$2,712,243,857","$73,985,104"," 31,242 ",,,
2030,NCAH,CT,06379, 14 ,"$7,285,286","$119,412", 30 ," 4,070 ","$857,453,699","$17,709,548"," 9,038 ",,,
2030,NCAH,CT,06335, 1 ,"$364,800","$8,146", 3 ," 2,918 ","$550,868,729","$13,517,883"," 6,729 ",,,
2030,NCAH,CT,06365, 1 ,"$157,143","$2,613", 2 ," 2,426 ","$421,526,604","$9,208,807"," 4,720 ",,,
2030,NCAH,CT,06498, 127 ,"$48,479,504","$785,267", 221 ," 4,511 ","$1,246,158,455","$25,330,672"," 6,963 ",,,
2030,NCAH,CT,06512, 172 ,"$39,682,586","$994,064", 385 ," 11,348 ","$2,003,496,645","$63,179,405"," 29,861 ",,,
2030,NCAH,CT,06405, 159 ,"$63,790,930","$1,223,957", 316 ," 12,989 ","$3,673,399,000","$84,459,375"," 27,860 ",,,
2030,NCAH,CT,06902, 68 ,"$163,858,815","$1,896,579", 168 ," 16,424 ","$6,906,916,637","$194,964,434"," 63,406 ",,,
2030,NCAH,CT,06854, 25 ,"$23,293,462","$404,804", 62 ," 7,902 ","$2,479,404,271","$64,382,869"," 29,100 ",,,
2030,NCAH,CT,06830, 17 ,"$82,175,900","$676,571", 37 ," 8,235 ","$14,655,630,933","$157,737,549"," 24,027 ",,,
2030,NCAH,CT,06513, 3 ,"$680,500","$19,792", 7 ," 9,221 ","$1,320,305,432","$43,939,653"," 38,978 ",,,
2030,NCAH,CT,06890, 2 ,"$7,407,400","$131,962", 5 ," 1,881 ","$1,666,596,464","$33,930,526"," 4,306 ",,,
2030,NCAH,CT,06853, 41 ,"$83,982,641","$1,348,591", 96 ," 2,040 ","$1,716,113,353","$30,079,756"," 3,646 ",,,
2030,NCAH,CT,06443, 65 ,"$38,176,429","$707,909", 146 ," 8,312 ","$3,487,770,502","$70,123,579"," 18,269 ",,,
2030,NCAH,CT,06438, 6 ,"$1,828,571","$39,937", 13 ," 1,333 ","$311,901,114","$8,076,019"," 2,550 ",,,
2030,NCAH,CT,06615, 96 ,"$21,148,386","$577,201", 231 ," 6,946 ","$1,329,299,643","$55,130,434"," 18,453 ",,,
2030,NCAH,CT,06516, 6 ,"$986,700","$31,468", 14 ," 16,716 ","$2,731,519,974","$103,435,547"," 55,564 ",,,
2030,NCAH,CT,06357, 8 ,"$2,182,100","$38,737", 14 ," 6,248 ","$1,658,741,543","$32,395,724"," 12,552 ",,,
2030,NCAH,CT,06473, 1 ,"$218,000","$4,659", 3 ," 9,687 ","$2,599,544,519","$78,105,816"," 24,388 ",,,
2030,NCAH,CT,06855, 19 ,"$11,864,872","$207,586", 43 ," 2,851 ","$1,159,472,295","$26,017,328"," 7,892 ",,,
2030,NCAH,CT,06820, 38 ,"$142,980,700","$1,578,369", 111 ," 7,302 ","$10,391,244,286","$127,103,038"," 20,732 ",,,
2030,NCAH,CT,06378, 37 ,"$23,915,858","$406,410", 66 ," 3,903 ","$1,387,323,235","$27,028,359"," 5,399 ",,,
2030,NCAH,CT,06355, 39 ,"$23,723,429","$397,557", 79 ," 6,042 ","$1,633,839,843","$35,465,152"," 12,985 ",,,
2030,NCAH,CT,06437, 69 ,"$35,570,501","$713,863", 159 ," 10,436 ","$3,619,360,359","$81,911,066"," 22,375 ",,,
2030,NCAH,CT,06426, 5 ,"$4,059,286","$61,319", 9 ," 1,980 ","$791,827,199","$14,299,552"," 3,245 ",,,
2030,NCAH,CT,06870, 55 ,"$139,993,900","$1,157,816", 143 ," 2,687 ","$3,904,940,957","$36,624,139"," 7,316 ",,,
2030,NCAH,CT,06416, 3 ,"$677,429","$15,947", 7 ," 6,639 ","$1,387,350,944","$42,871,691"," 14,005 ",,,
2030,NCAH,CT,06475, 202 ,"$99,868,859","$1,346,446", 364 ," 6,912 ","$2,438,070,015","$39,976,175"," 10,242 ",,,
2030,NCAH,CT,06824, 516 ,"$448,650,214","$7,992,703"," 1,328 "," 12,464 ","$7,944,458,450","$168,882,644"," 33,900 ",,,
2030,NCAH,CT,06880, 61 ,"$92,287,716","$1,089,183", 153 ," 10,627 ","$12,617,476,728","$179,538,260"," 26,647 ",,,
2030,NCAH,CT,06460, 384 ,"$103,243,116","$2,011,996", 835 ," 16,400 ","$4,582,413,406","$116,495,514"," 38,207 ",,,
2030,NCAH,CT,06605, 59 ,"$13,603,686","$517,736", 141 ," 4,768 ","$902,737,088","$44,764,138"," 23,397 ",,,
2030,NCAH,DE,19945, 7 ,"$459,600","$7,385", 12 ," 5,687 ","$178,151,085","$3,441,116"," 6,862 ",,,
2030,NCAH,DE,19706, 40 ,"$1,697,900","$29,293", 92 , 932 ,"$30,071,400","$557,689"," 1,822 ",,,
2030,NCAH,DE,19709, 37 ,"$2,488,500","$37,811", 106 ," 20,037 ","$1,183,653,155","$33,061,151"," 35,107 ",,,
2030,NCAH,DE,19901, 57 ,"$1,240,700","$23,703", 131 ," 13,407 ","$659,593,267","$11,214,081"," 35,055 ",,,
2030,NCAH,DE,19963, 120 ,"$3,128,200","$65,939", 267 ," 11,606 ","$401,695,016","$8,403,225"," 19,206 ",,,
2030,NCAH,DE,19944, 465 ,"$27,621,700","$454,740", 169 ," 1,436 ","$100,060,750","$1,616,875", 620 ,,,
2030,NCAH,DE,19977, 20 ,"$882,300","$14,760", 50 ," 12,513 ","$481,456,400","$9,566,579"," 22,984 ",,,
2030,NCAH,DE,19734, 9 ,"$799,700","$13,376", 26 ," 6,443 ","$371,269,600","$9,655,022"," 11,651 ",,,
2030,NCAH,DE,19973, 2 ,"$78,400","$1,623", 5 ," 12,597 ","$425,157,417","$7,634,599"," 23,838 ",,,
2030,NCAH,DE,19968, 71 ,"$1,954,900","$37,962", 136 ," 8,656 ","$301,556,369","$5,328,752"," 9,549 ",,,
2030,NCAH,DE,19966, 126 ,"$2,958,400","$48,232", 189 ," 20,482 ","$673,421,458","$10,449,689"," 24,601 ",,,
2030,NCAH,DE,19971, 144 ,"$12,590,800","$249,920", 116 ," 13,937 ","$846,630,074","$15,938,707"," 12,385 ",,,
2030,NCAH,DE,19731, 15 ,"$566,400","$9,662", 33 , 178 ,"$5,255,900","$118,915", 252 ,,,
2030,NCAH,DE,19801, 19 ,"$398,000","$15,319", 36 ," 6,729 ","$217,473,200","$43,319,135"," 16,286 ",,,
2030,NCAH,DE,19956, 5 ,"$180,000","$3,737", 12 ," 8,037 ","$247,713,415","$6,230,410"," 15,500 ",,,
2030,NCAH,DE,19702, 4 ,"$228,600","$6,135", 10 ," 18,342 ","$1,205,660,950","$47,382,135"," 51,899 ",,,
2030,NCAH,DE,19804, 1 ,"$1,770,800","$12,144", 2 ," 7,523 ","$339,798,500","$13,685,790"," 17,944 ",,,
2030,NCAH,DE,19730, 3 ,"$33,600",$799, 7 , 305 ,"$12,569,800","$574,923", 451 ,,,
2030,NCAH,DE,19970, 47 ,"$2,038,600","$41,609", 42 ," 9,223 ","$423,881,780","$8,244,556"," 6,170 ",,,
2030,NCAH,DE,19946, 121 ,"$3,113,900","$45,396", 273 ," 2,977 ","$73,183,100","$1,295,067"," 4,420 ",,,
2030,NCAH,DE,19930, 809 ,"$45,885,700","$748,208", 267 ," 7,643 ","$506,254,502","$8,104,423"," 2,768 ",,,
2030,NCAH,DE,19720, 57 ,"$2,549,500","$44,366", 146 ," 21,091 ","$1,075,327,650","$37,576,455"," 59,250 ",,,
2030,NCAH,DE,19975, 185 ,"$6,417,500","$104,493", 229 ," 8,886 ","$407,269,402","$6,675,556"," 8,253 ",,,
2030,NCAH,DE,19939, 22 ,"$775,400","$13,377", 42 ," 5,126 ","$198,694,391","$3,418,802"," 5,979 ",,,
2030,NCAH,DE,19962, 1 ,"$13,400",$231, 3 ," 5,854 ","$204,372,833","$3,761,747"," 10,206 ",,,
2030,NCAH,DE,19958, 152 ,"$7,748,200","$150,000", 196 ," 19,337 ","$973,565,291","$16,759,330"," 19,650 ",,,
2030,NCAH,FL,34449, 9 ,"$280,623","$6,633", 13 ," 3,019 ","$228,132,843","$3,255,411"," 2,809 ",,,
2030,NCAH,FL,33776, 4 ,"$1,345,177","$13,605", 9 ," 5,567 ","$1,327,488,074","$16,689,152"," 12,402 ",,,
2030,NCAH,FL,33435, 130 ,"$30,635,705","$551,239", 227 ," 17,365 ","$3,793,448,831","$62,135,997"," 32,104 ",,,
2030,NCAH,FL,33131, 308 ,"$88,300,217","$1,537,712", 341 ," 15,722 ","$11,020,366,083","$214,177,716"," 14,917 ",,,
2030,NCAH,FL,32626, 16 ,"$2,106,399","$33,155", 31 ," 7,127 ","$517,231,004","$6,473,758"," 8,133 ",,,
2030,NCAH,FL,33158, 26 ,"$3,191,180","$53,312", 74 ," 2,580 ","$1,591,180,428","$21,384,300"," 6,694 ",,,
2030,NCAH,FL,32277, 2 ,"$1,134,052","$17,842", 4 ," 9,156 ","$2,658,771,393","$30,503,257"," 29,517 ",,,
2030,NCAH,FL,32328, 55 ,"$17,305,022","$201,991", 55 ," 5,294 ","$1,210,925,941","$12,650,860"," 3,149 ",,,
2030,NCAH,FL,32570, 1 ,"$73,222",$568, 2 ," 15,542 ","$1,476,014,680","$13,133,983"," 28,817 ",,,
2030,NCAH,FL,33142, 6 ,"$1,598,444","$25,006", 16 ," 13,743 ","$3,393,475,554","$44,095,610"," 52,606 ",,,
2030,NCAH,FL,32110, 5 ,"$282,764","$2,802", 10 ," 7,755 ","$594,085,050","$6,732,814"," 7,600 ",,,
2030,NCAH,FL,32132, 6 ,"$2,857,512","$42,243", 11 ," 4,092 ","$501,342,718","$7,502,286"," 7,265 ",,,
2030,NCAH,FL,34429, 1 ,"$89,440","$1,513", 2 ," 7,594 ","$953,981,378","$13,028,186"," 8,563 ",,,
2030,NCAH,FL,33945, 28 ,"$6,032,900","$110,286", 11 , 330 ,"$79,767,901","$1,460,170", 57 ,,,
2030,NCAH,FL,33040, 704 ,"$339,757,163","$2,945,254"," 1,229 "," 15,444 ","$11,113,871,246","$79,284,905"," 32,891 ",,,
2030,NCAH,FL,34681, 28 ,"$16,024,547","$227,449", 55 , 667 ,"$246,890,500","$3,727,577"," 1,294 ",,,
2030,NCAH,FL,32336, 19 ,"$1,283,520","$17,228", 30 ," 1,422 ","$95,803,685","$755,775"," 1,391 ",,,
2030,NCAH,FL,34981, 2 ,"$392,800","$5,524", 5 ," 1,978 ","$520,275,853","$6,661,039"," 4,239 ",,,
2030,NCAH,FL,34239, 1 ,"$6,534,700","$107,349", 2 ," 8,418 ","$2,983,392,440","$32,663,056"," 15,038 ",,,
2030,NCAH,FL,34243, 1 ,"$352,919","$4,638", 2 ," 15,009 ","$3,677,559,751","$40,956,458"," 26,115 ",,,
2030,NCAH,FL,34679, 6 ,"$443,362","$6,332", 8 , 170 ,"$6,465,194","$91,903", 99 ,,,
2030,NCAH,FL,33957, 162 ,"$65,268,741","$915,770", 134 ," 8,639 ","$5,623,737,805","$77,174,368"," 6,469 ",,,
2030,NCAH,FL,32257, 1 ,"$1,528,559","$25,482", 2 ," 13,738 ","$4,649,593,411","$55,239,619"," 36,430 ",,,
2030,NCAH,FL,34949, 150 ,"$26,907,100","$469,105", 138 ," 7,214 ","$1,596,639,899","$28,649,511"," 7,103 ",,,
2030,NCAH,FL,32348, 56 ,"$9,052,310","$118,910", 105 ," 7,847 ","$615,176,325","$7,424,300"," 12,442 ",,,
2030,NCAH,FL,33921, 28 ,"$60,068,061","$641,140", 23 ," 2,347 ","$2,877,034,660","$37,964,829"," 1,720 ",,,
2030,NCAH,FL,33901, 1 ,"$1,065,197",$541, 2 ," 8,583 ","$3,287,613,082","$39,122,778"," 19,500 ",,,
2030,NCAH,FL,32114, 14 ,"$4,486,969","$54,260", 25 ," 11,253 ","$2,322,241,929","$28,307,680"," 32,084 ",,,
2030,NCAH,FL,32118, 1 ,"$276,949","$6,167", 1 ," 15,922 ","$3,460,834,744","$63,072,350"," 16,961 ",,,
2030,NCAH,FL,32456, 10 ,"$3,160,519","$45,857", 12 ," 9,968 ","$1,593,011,408","$19,221,549"," 6,966 ",,,
2030,NCAH,FL,32465, 1 ,"$44,924",$296, 2 ," 5,910 ","$310,085,034","$2,737,565"," 9,232 ",,,
2030,NCAH,FL,32566, 46 ,"$10,007,137","$125,238", 101 ," 21,064 ","$3,174,071,492","$34,761,636"," 33,671 ",,,
2030,NCAH,FL,32176, 2 ,"$2,397,107","$43,641", 3 ," 10,696 ","$2,222,910,522","$36,153,626"," 14,339 ",,,
2030,NCAH,FL,32177, 65 ,"$11,013,944","$152,455", 146 ," 16,474 ","$1,637,140,943","$22,075,614"," 27,132 ",,,
2030,NCAH,FL,32217, 2 ,,, 4 ," 7,314 ","$2,629,819,593","$30,908,675"," 18,817 ",,,
2030,NCAH,FL,32358, 12 ,"$1,875,227","$27,166", 16 ," 3,010 ","$307,643,641","$2,517,117"," 2,145 ",,,
2030,NCAH,FL,34113, 308 ,"$59,285,564","$843,054", 512 ," 16,416 ","$4,216,660,547","$45,009,332"," 17,971 ",,,
2030,NCAH,FL,32359, 20 ,"$3,332,790","$41,202", 15 ," 2,998 ","$193,049,681","$2,712,791"," 1,721 ",,,
2030,NCAH,FL,34234, 1 ,"$2,670,000","$45,615", 2 ," 9,342 ","$1,512,326,975","$19,010,927"," 19,788 ",,,
